City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,husavik,66.0449,-17.3389,-0.51,66,93,7.98,IS,1675480209
299,belmonte,-15.8631,-38.8828,25.42,85,0,3.77,BR,1675480210
300,ust-nera,64.5667,143.2,-30.39,98,100,0.56,RU,1675480210
301,ilulissat,69.2167,-51.1,-12.99,85,100,5.66,GL,1675480211
302,geraldton,-28.7667,114.6,33.23,38,14,8.75,AU,1675480211
303,kununurra,-15.7667,128.7333,32.99,49,32,2.06,AU,1675480212
304,mehamn,71.0357,27.8492,-4.03,80,20,6.69,NO,1675480213
305,isugod,9.3408,118.1196,28.62,66,100,1.74,PH,1675480213
306,yurgamysh,55.3714,64.4656,-20.42,91,54,1.47,RU,1675480214
307,piranshahr,36.701,45.1413,-8.84,64,63,0.85,IR,1675480215
308,santa lucia,27.9117,-15.5407,10.62,72,20,4.12,ES,1675480215
309,lashio,22.9333,97.75,22.28,47,14,0.27,MM,1675480216
310,lisala,2.15,21.5167,20.37,65,46,0.81,CD,1675480216
311,nikolskoye,59.7035,30.7861,-3.45,96,100,2.63,RU,1675480216
312,klaksvik,62.2266,-6.589,8.51,93,100,11.47,FO,1675480217
313,porto-vecchio,41.591,9.2795,10.81,76,75,6.17,FR,1675480217
314,ankazoabo,-22.2833,44.5167,21.25,85,16,1.36,MG,1675480218
315,gizo,-8.103,156.8419,28.55,75,92,1.47,SB,1675480219
316,san patricio,28.017,-97.5169,10.47,79,19,2.74,US,1675480219
317,alice springs,-23.7,133.8833,23.75,35,0,5.66,AU,1675480220
318,namibe,-15.1961,12.1522,21.94,78,99,2.8,AO,1675480042
319,ouahigouya,13.5828,-2.4216,20.65,11,7,6.1,BF,1675480221
320,margate,51.3813,1.3862,8.82,80,51,1.34,GB,1675480221
321,hirara,24.8,125.2833,18.83,77,100,6.85,JP,1675480222
322,dalvik,65.9702,-18.5286,-2.28,71,9,6.07,IS,1675480222
323,beringovskiy,63.05,179.3167,-23.97,96,100,6.19,RU,1675480223
324,bourail,-21.5667,165.4833,30.48,66,100,2.06,NC,1675480223
325,vizinga,61.0749,50.1031,-10.94,98,91,1.72,RU,1675480224
326,le lorrain,14.8329,-61.0567,23.97,79,26,6.55,MQ,1675480225
327,darhan,49.4867,105.9228,-19.49,92,72,0.47,MN,1675480106
328,sao felix do xingu,-6.6447,-51.995,21.61,97,54,0.86,BR,1675480225
329,qandala,11.472,49.8728,21.04,68,97,2.12,SO,1675480226
330,kahului,20.8947,-156.47,25.54,72,0,8.23,US,1675479957
331,lensk,60.7253,114.9278,-20.18,94,100,1.72,RU,1675480227
332,tilichiki,60.4667,166.1,-19.55,93,78,3.72,RU,1675480227
333,vao,-22.6667,167.4833,27.04,80,99,7.22,NC,1675480228
334,aklavik,68.2191,-135.0107,-33.55,97,93,1.29,CA,1675480004
335,sorada,19.75,84.4333,23.43,11,13,0.94,IN,1675480228
336,sorland,67.667,12.6934,2.92,66,100,8.69,NO,1675480229
337,abu zabad,12.35,29.25,15.75,23,29,4.9,SD,1675480229
338,portland,45.5234,-122.6762,10.45,85,99,4.92,US,1675479998
339,nampula,-15.1165,39.2666,20.49,98,95,1.33,MZ,1675480230
340,moose factory,51.2585,-80.6094,-33.04,95,51,2.69,CA,1675480230
341,remedios,22.4947,-79.5458,21.51,80,4,2.56,CU,1675480231
342,zaysan,47.4667,84.8667,-6.68,90,95,1.07,KZ,1675480231
343,roald,62.5833,6.1333,2.64,64,100,7.72,NO,1675480231
344,santa rita,-7.1139,-34.9781,26.37,83,20,2.57,BR,1675480232
345,tazovskiy,67.4667,78.7,-16.18,98,100,1.69,RU,1675480232
346,virginia,37.5481,-77.4467,-2.35,39,0,6.17,US,1675479938
347,sumkino,58.1108,68.3244,-19.12,96,45,1.6,RU,1675480233
348,teeli,51.0333,90.2333,-19.46,94,74,0.33,RU,1675480233
349,ornskoldsvik,63.2909,18.7153,-14.47,92,45,1.03,SE,1675480233
350,voskresenskoye,56.8381,45.4317,-4.07,97,100,2.19,RU,1675480234
351,srednekolymsk,67.45,153.6833,-24.16,97,100,5.72,RU,1675480234
352,canala,-21.5333,165.95,29.35,70,100,3.88,NC,1675480234
